sample_id,source_dataset,raw_file_path,rruff_id,mineral_name,compound_name,original_formula,display_formula_clean,normalized_formula,reduced_formula,chemical_family,sub_family,elements,contains_transition_metal,contains_3d_transition_metal,contains_4d_transition_metal,contains_5d_transition_metal,is_mixture,mixture_components,has_variable_formula,has_vacancy_symbol,has_mixed_occupancy,has_html_tag,has_hydrate,formula_parse_success,eligible_for_matbench_matching,matbench_match_success,band_gap_eV,band_gap_class,is_metal,formation_energy,formation_energy_class,has_xrd,xrd_file_path,duplicate_rruff_id,duplicate_group_size,exclude_from_inorganic_main,quality_flags
R250095,RRUFF,Abellaite__R250095__Raman__532______Raman_Data_Processed__b342e40f190721ad0c8fed30ccc2.txt,R250095,Abellaite,Abellaite,NaPb_2_(CO_3_)_2_(OH),NaPb_2_(CO_3_)_2_(OH),NaPb2(CO3)2(OH),NaHPb2C2O7,Carbonate,,"C,H,Na,O,Pb",False,False,False,False,False,,False,False,False,False,False,True,True,False,,,,,,True,Abellaite__R250095__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__b342e40f190721ad0c8fed30ccc2.txt,True,3,False,
R070007,RRUFF,Abelsonite__R070007__Raman__532______Raman_Data_Processed__cd49494835f9f72e0d7c172ad2b4.txt,R070007,Abelsonite,Abelsonite,NiC_31_H_32_N_4_,NiC_31_H_32_N_4_,NiC31H32N4,NiH32C31N4,Halide,,"C,Cr,Fe,H,I,N,Ni,O,V",True,True,False,False,False,,False,False,False,False,False,True,True,False,,,,,,True,Abelsonite__R070007__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__cd49494835f9f72e0d7c172ad2b4.txt,True,6,False,
R060227,RRUFF,Abhurite__R060227__Raman__532______Raman_Data_Processed__0ffb340f1f86044a5495110ef799.txt,R060227,Abhurite,Abhurite,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn21O6(OH)14Cl16,Sn21H14(Cl4O5)4,Halide,,"Cl,H,La,O,Sn",True,False,False,True,False,,False,False,False,False,False,True,True,True,2.9751,semiconductor,False,-1.4863634520118307,stable,False,,True,6,False,
R070037,RRUFF,Abramovite__R070037__Broad_Scan__532__0__unoriented__Raman_Data_Processed__db2de3a53da39189f1a8dfee39f1.txt,R070037,Abramovite,Abramovite,Pb_2_SnInBiS_7_,Pb_2_SnInBiS_7_,Pb2SnInBiS7,InSnBiPb2S7,Sulfide,,"Bi,In,Pb,S,Sn",False,False,False,False,False,,False,False,False,False,False,True,True,False,,,,,,False,,True,6,False,
R070578,RRUFF,Acanthite__R070578__Broad_Scan__532__0__unoriented__Raman_Data_Processed__ca36ad2b748b256f6902a7e8ee6d.txt,R070578,Acanthite,Acanthite,Ag_2_S,Ag_2_S,Ag2S,Ag2S,Sulfide,,"Ag,S",True,False,True,False,False,,False,False,False,False,False,True,True,True,0.9945,narrow_gap,False,-0.2372696430208337,marginally_stable,False,,True,8,False,
R080016,RRUFF,Acanthite__R080016__Broad_Scan__532__0__unoriented__Raman_Data_Raw__64a66e7b4897e5f2e95f8ea1f941.txt,R080016,Acanthite,Acanthite,Ag_2_S,Ag_2_S,Ag2S,Ag2S,Sulfide,,"Ag,S",True,False,True,False,False,,False,False,False,False,False,True,True,True,0.9945,narrow_gap,False,-0.2372696430208337,marginally_stable,True,Acanthite__R080016__Broad_Scan__532__0__unoriented__Xray_Data_XY_Data_Raw__64a66e7b4897e5f2e95f8ea1f941.txt,True,4,False,
R040063,RRUFF,Actinolite__R040063-3__Raman__514__0-000__depolarized__Raman_Data_Processed__728b0e65ec1afdbd911057347955.txt,R040063,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Ca,Fe,H,Mg,O,Si",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R040063-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__728b0e65ec1afdbd911057347955.txt,True,40,False,
R040064,RRUFF,Actinolite__R040064-3__Raman__514__0-000__depolarized__Raman_Data_Processed__64ff2ad221b200da7d239e174881.txt,R040064,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Ca,Fe,H,Mg,O,Si",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R040064-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__64ff2ad221b200da7d239e174881.txt,True,40,False,
R050025,RRUFF,Actinolite__R050025-3__Raman__514__0-000__depolarized__Raman_Data_Processed__c18025fdeefb953394f7e20ebe33.txt,R050025,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Ca,Fe,H,Mg,O,Si",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R050025-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__c18025fdeefb953394f7e20ebe33.txt,True,40,False,
R050336,RRUFF,Actinolite__R050336-3__Raman__514__0-000__depolarized__Raman_Data_Processed__f8a61f6bd709ee1925d24022cb80.txt,R050336,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Ca,Fe,H,Mg,O,Si",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R050336-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__f8a61f6bd709ee1925d24022cb80.txt,True,42,False,
R060041,RRUFF,Actinolite__R060041-3__Raman__514__0-000____Raman_Data_Processed__57e96c68dd658eda87a17afcf1f0.txt,R060041,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Al,Ca,Cr,F,Fe,H,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R060041-3__Xray_Data_XY__514__0-000____Xray_Data_XY_Data_Processed__57e96c68dd658eda87a17afcf1f0.txt,True,19,False,
R060045,RRUFF,Actinolite__R060045-3__Raman__514__0-000__depolarized__Raman_Data_Processed__78b41c059af86af7fb41a83462f9.txt,R060045,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Al,Ca,Cr,F,Fe,H,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R060045-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__78b41c059af86af7fb41a83462f9.txt,True,38,False,
