rruff_id,mineral_name,laser_nm,data_type,source_file,has_xrd,chemical_family,formula,reduced_formula,n_elements,avg_electronegativity,avg_atomic_mass,mb_gap_median,mb_gap_min,mb_gap_max,mb_gap_count,mb_is_metal,mb_e_form_median,mb_e_form_min,mb_e_form_count
R250095,Abellaite,532,Processed,Abellaite__R250095__Raman__532______Raman_Data_Processed__b342e40f190721ad0c8fed30ccc2.txt,True,Carbonate,NaPb2(CO3)2(OH),NaHPb2C2O7,5.0,2.29,51.841561856,,,,,,,,
R070007,Abelsonite,532,Processed,Abelsonite__R070007__Raman__532______Raman_Data_Processed__cd49494835f9f72e0d7c172ad2b4.txt,True,Oxide,NiC31H32N4,NiH32C31N4,4.0,2.425,21.429685,,,,,,,,
R060227,Abhurite,532,Processed,Abhurite__R060227__Raman__532______Raman_Data_Processed__0ffb340f1f86044a5495110ef799.txt,False,Oxide,Sn21O6(OH)14Cl16,Sn21H14(Cl4O5)4,4.0,2.6900000000000004,42.792584999999995,2.9751,2.9751,2.9751,1.0,False,-1.4863634520118307,-1.4863634520118307,1.0
R070037,Abramovite,532,Processed,Abramovite__R070037__Broad_Scan__532__0__unoriented__Raman_Data_Processed__db2de3a53da39189f1a8dfee39f1.txt,False,Sulfide,Pb2SnInBiS7,InSnBiPb2S7,5.0,2.134,136.35468,,,,,,,,
R070578,Acanthite,532,Processed,Acanthite__R070578__Broad_Scan__532__0__unoriented__Raman_Data_Processed__ca36ad2b748b256f6902a7e8ee6d.txt,False,Sulfide,Ag2S,Ag2S,2.0,2.255,69.9666,0.9945,0.0,1.3608000000000002,13.0,False,-0.2372696430208337,-0.2782280530208337,13.0
R080016,Acanthite,532,RAW,Acanthite__R080016__Broad_Scan__532__0__unoriented__Raman_Data_Raw__64a66e7b4897e5f2e95f8ea1f941.txt,True,Sulfide,Ag2S,Ag2S,2.0,2.255,69.9666,0.9945,0.0,1.3608000000000002,13.0,False,-0.2372696430208337,-0.2782280530208337,13.0
R040063,Actinolite,514,Processed,Actinolite__R040063-3__Raman__514__0-000__depolarized__Raman_Data_Processed__728b0e65ec1afdbd911057347955.txt,True,Silicate,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,6.0,,,,,,,,,,
R040064,Actinolite,514,Processed,Actinolite__R040064-3__Raman__514__0-000__depolarized__Raman_Data_Processed__64ff2ad221b200da7d239e174881.txt,True,Silicate,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,6.0,,,,,,,,,,
R050025,Actinolite,514,Processed,Actinolite__R050025-3__Raman__514__0-000__depolarized__Raman_Data_Processed__c18025fdeefb953394f7e20ebe33.txt,True,Silicate,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,6.0,,,,,,,,,,
R050336,Actinolite,514,Processed,Actinolite__R050336-3__Raman__514__0-000__depolarized__Raman_Data_Processed__f8a61f6bd709ee1925d24022cb80.txt,True,Silicate,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,6.0,,,,,,,,,,
R060041,Actinolite,514,Processed,Actinolite__R060041-3__Raman__514__0-000____Raman_Data_Processed__57e96c68dd658eda87a17afcf1f0.txt,True,Silicate,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,13.0,,,,,,,,,,
R060045,Actinolite,514,Processed,Actinolite__R060045-3__Raman__514__0-000__depolarized__Raman_Data_Processed__78b41c059af86af7fb41a83462f9.txt,True,Silicate,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,13.0,,,,,,,,,,
R120010,Actinolite,532,Processed,Actinolite__R120010__Broad_Scan__532__0__unoriented__Raman_Data_Processed__40078cadd5746e56f5cb5b053acd.txt,False,Silicate,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,6.0,,,,,,,,,,
,Actinolite,785,RAW,Actinolite__X050001__Raman__785______Raman_Data_RAW__1c3dfc6493b44fcfb3b04e960dd5.txt,False,Silicate,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,6.0,,,,,,,,,,
R230014,Adachiite,514.5,Processed,Adachiite__R230014-3__Raman__514-5______Raman_Data_Processed__85bb1e9626093899edcc5b738568.txt,False,Silicate,CaFe3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaAl7Fe3Si5B3H4O31,7.0,2.0028571428571427,25.544054085714286,,,,,,,,
R040130,Adamite,514,Processed,Adamite__R040130-3__Raman__514__0-000__depolarized__Raman_Data_Processed__db64e18da4d6c225c79e3b818e15.txt,True,Sulfate,Zn2(AsO4)(OH),Zn2AsHO5,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,-1.7352544360966666,-1.7352544360966666,1.0
R050020,Adamite,514,Processed,Adamite__R050020-3__Raman__514__0-000__depolarized__Raman_Data_Processed__7aeca6e07a3bcad0c72d9d3b6159.txt,True,Sulfate,Zn2(AsO4)(OH),Zn2AsHO5,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,-1.7352544360966666,-1.7352544360966666,1.0
R060593,Adamite,532,Processed,Adamite__R060593__Raman__532______Raman_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,True,Sulfate,Zn2(AsO4)(OH),Zn2AsHO5,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,-1.7352544360966666,-1.7352544360966666,1.0
R070360,Adamsite-(Y),785,Processed,Adamsite-(Y)__R070360__Broad_Scan__785__0__unoriented__Raman_Data_Processed__3c65ea7c8e9cc42814a17bcf3e70.txt,False,Carbonate,NaY(CO3)26H2O,NaYH2C26O79,5.0,2.068,28.182731855999997,,,,,,,,
R190033,Adanite,532,Processed,Adanite__R190033__Raman__532______Raman_Data_Processed__97218a55b1f013bb1af6660563e8.txt,False,Sulfate,Pb2(TeO3)(SO4),TePb2SO7,4.0,2.6125,95.71609999999998,,,,,,,,
R060687,Adelite,532,Processed,Adelite__R060687__Raman__532______Raman_Data_Processed__dca6218528ee2f7e72b690f3d1f0.txt,False,Sulfate,CaMg(AsO4)(OH),CaMgAsHO5,5.0,2.026,31.262387999999998,,,,,,,,
R140962,Adelite,532,Processed,Adelite__R140962__Broad_Scan__532__0__unoriented__Raman_Data_Processed__7457110abf7642c4df59a2413000.txt,False,Sulfate,CaMg(AsO4)(OH),CaMgAsHO5,5.0,2.026,31.262387999999998,,,,,,,,
R040054,Aegirine,514,Processed,Aegirine__R040054-3__Raman__514__0-000__depolarized__Raman_Data_Processed__763662312a7d089e52ac546c1325.txt,True,Silicate,NaFeSi2O6,NaFe(SiO3)2,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,-2.7952914512500007,-2.7952914512500007,1.0
R050074,Aegirine,514,Processed,Aegirine__R050074-3__Raman__514__0-000__depolarized__Raman_Data_Processed__e218395863e2ce3487e604f1e554.txt,True,Silicate,NaFeSi2O6,NaFe(SiO3)2,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,-2.7952914512500007,-2.7952914512500007,1.0
R061093,Aegirine,532,Processed,Aegirine__R061093__Raman__532______Raman_Data_Processed__eacc40c0a74ddabe6fa3613dfb89.txt,False,Silicate,NaFeSi2O6,NaFe(SiO3)2,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,-2.7952914512500007,-2.7952914512500007,1.0
R070125,Aegirine,532,Processed,Aegirine__R070125__Raman__532______Raman_Data_Processed__83b4a073f61dffad8f5d5ef8a58d.txt,False,Silicate,NaFeSi2O6,NaFe(SiO3)2,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,-2.7952914512500007,-2.7952914512500007,1.0
R070253,Aegirine,532,Processed,Aegirine__R070253__Raman__532______Raman_Data_Processed__ef20fcecf52013adb0063596b6ae.txt,False,Silicate,NaFeSi2O6,NaFe(SiO3)2,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,-2.7952914512500007,-2.7952914512500007,1.0
R120144,Aegirine,532,Processed,Aegirine__R120144__Broad_Scan__532__0__unoriented__Raman_Data_Processed__8755e84a1bd47ee4a9979718f9b5.txt,False,Silicate,NaFeSi2O6,NaFe(SiO3)2,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,-2.7952914512500007,-2.7952914512500007,1.0
R120167,Aegirine,532,Processed,Aegirine__R120167__Broad_Scan__532__0__unoriented__Raman_Data_Processed__c970e847499313a4617e03f37457.txt,False,Silicate,NaFeSi2O6,NaFe(SiO3)2,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,-2.7952914512500007,-2.7952914512500007,1.0
R061088,Aenigmatite,514,Processed,Aenigmatite__R061088-3__Raman__514__0-000__depolarized__Raman_Data_Processed__411e4af1433047b15c5a49bc4902.txt,False,Silicate,Na4[Fe10Ti2]O4[Si12O36],Na2TiFe5(Si3O10)2,5.0,1.9280000000000002,34.157333856,2.3046,2.3046,2.3046,1.0,False,-2.7812289088725493,-2.7812289088725493,1.0
R061089,Aenigmatite,532,Processed,Aenigmatite__R061089__Raman__532______Raman_Data_Processed__ab26d3b97874cec620a7777e0804.txt,False,Silicate,Na4[Fe10Ti2]O4[Si12O36],Na2TiFe5(Si3O10)2,5.0,1.9280000000000002,34.157333856,2.3046,2.3046,2.3046,1.0,False,-2.7812289088725493,-2.7812289088725493,1.0
R050610,Aerinite,785,Processed,Aerinite__R050610__Raman__785______Raman_Data_Processed__6ab54a7d153a95322c236821d3f5.txt,False,Carbonate,"(Ca,Na)6(Fe,Fe,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)12H2O","(Ca,Na)6(Fe,Fe,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)12H2O",9.0,,,,,,,,,,
R060312,Aeschynite-(Y),532,Processed,Aeschynite-(Y)__R060312__Raman__532______Raman_Data_Processed__c0ecd34947edbd1ebc82fd40db6d.txt,True,Oxide,Y(TiNb)O6,YTiNbO6,4.0,1.9499999999999997,61.41965750000001,3.166,3.166,3.166,1.0,False,-3.5288661929232807,-3.5288661929232807,1.0
R080045,Aeschynite-(Y),532,Processed,Aeschynite-(Y)__R080045__Broad_Scan__532__0__unoriented__Raman_Data_Processed__34def63603a6bb9b836125c30d7e.txt,True,Oxide,Y(TiNb)O6,YTiNbO6,4.0,1.9499999999999997,61.41965750000001,3.166,3.166,3.166,1.0,False,-3.5288661929232807,-3.5288661929232807,1.0
R060422,Afghanite,532,Processed,Afghanite__R060422__Raman__532______Raman_Data_Processed__dbf801bbeca7f15d3b75e745330a.txt,True,Sulfate,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",8.0,,,,,,,,,,
