sample_id,source_dataset,raw_file_path,rruff_id,mineral_name,compound_name,original_formula,display_formula_clean,normalized_formula,reduced_formula,chemical_family,sub_family,elements,contains_transition_metal,contains_3d_transition_metal,contains_4d_transition_metal,contains_5d_transition_metal,is_mixture,mixture_components,has_variable_formula,has_vacancy_symbol,has_mixed_occupancy,has_html_tag,has_hydrate,formula_parse_success,eligible_for_matbench_matching,matbench_match_success,band_gap_eV,band_gap_class,is_metal,formation_energy,formation_energy_class,has_xrd,xrd_file_path,duplicate_rruff_id,duplicate_group_size,exclude_from_inorganic_main,quality_flags
R060227,RRUFF,Abhurite__R060227__Raman__532______Raman_Data_Processed__0ffb340f1f86044a5495110ef799.txt,R060227,Abhurite,Abhurite,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn21O6(OH)14Cl16,Sn21H14(Cl4O5)4,Halide,,"Cl,H,La,O,Sn",True,False,False,True,False,,False,False,False,False,False,True,True,True,2.9751,semiconductor,False,-1.4863634520118307,stable,False,,True,6,False,
R070578,RRUFF,Acanthite__R070578__Broad_Scan__532__0__unoriented__Raman_Data_Processed__ca36ad2b748b256f6902a7e8ee6d.txt,R070578,Acanthite,Acanthite,Ag_2_S,Ag_2_S,Ag2S,Ag2S,Sulfide,,"Ag,S",True,False,True,False,False,,False,False,False,False,False,True,True,True,0.9945,narrow_gap,False,-0.2372696430208337,marginally_stable,False,,True,8,False,
R080016,RRUFF,Acanthite__R080016__Broad_Scan__532__0__unoriented__Raman_Data_Raw__64a66e7b4897e5f2e95f8ea1f941.txt,R080016,Acanthite,Acanthite,Ag_2_S,Ag_2_S,Ag2S,Ag2S,Sulfide,,"Ag,S",True,False,True,False,False,,False,False,False,False,False,True,True,True,0.9945,narrow_gap,False,-0.2372696430208337,marginally_stable,True,Acanthite__R080016__Broad_Scan__532__0__unoriented__Xray_Data_XY_Data_Raw__64a66e7b4897e5f2e95f8ea1f941.txt,True,4,False,
R040130,RRUFF,Adamite__R040130-3__Raman__514__0-000__depolarized__Raman_Data_Processed__db64e18da4d6c225c79e3b818e15.txt,R040130,Adamite,Adamite,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,Sulfate,,"As,H,O,Zn",True,True,False,False,False,,False,False,False,False,False,True,True,True,1.9575,semiconductor,False,-1.7352544360966666,stable,True,Adamite__R040130-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__db64e18da4d6c225c79e3b818e15.txt,True,33,False,
R050020,RRUFF,Adamite__R050020-3__Raman__514__0-000__depolarized__Raman_Data_Processed__7aeca6e07a3bcad0c72d9d3b6159.txt,R050020,Adamite,Adamite,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,Sulfate,,"As,H,O,Zn",True,True,False,False,False,,False,False,False,False,False,True,True,True,1.9575,semiconductor,False,-1.7352544360966666,stable,True,Adamite__R050020-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__7aeca6e07a3bcad0c72d9d3b6159.txt,True,32,False,
R060593,RRUFF,Adamite__R060593__Raman__532______Raman_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,R060593,Adamite,Adamite,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,Sulfate,,"As,Ca,Cl,Cu,F,Fe,H,La,Mg,Mn,O,P,Pb,S,Zn",True,True,False,True,False,,False,False,False,False,False,True,True,True,1.9575,semiconductor,False,-1.7352544360966666,stable,True,Adamite__R060593__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,True,6,False,
R040054,RRUFF,Aegirine__R040054-3__Raman__514__0-000__depolarized__Raman_Data_Processed__763662312a7d089e52ac546c1325.txt,R040054,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Fe,Na,O,Si",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,True,Aegirine__R040054-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__763662312a7d089e52ac546c1325.txt,True,42,False,
R050074,RRUFF,Aegirine__R050074-3__Raman__514__0-000__depolarized__Raman_Data_Processed__e218395863e2ce3487e604f1e554.txt,R050074,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Al,Ca,Cr,F,Fe,La,Mg,Mn,Mt,Na,O,Si,Ti,Zn,Zr",True,True,True,True,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,True,Aegirine__R050074-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__e218395863e2ce3487e604f1e554.txt,True,40,False,
R061093,RRUFF,Aegirine__R061093__Raman__532______Raman_Data_Processed__eacc40c0a74ddabe6fa3613dfb89.txt,R061093,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Al,Ca,Cr,Fe,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,False,,True,6,False,
R070125,RRUFF,Aegirine__R070125__Raman__532______Raman_Data_Processed__83b4a073f61dffad8f5d5ef8a58d.txt,R070125,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Al,Ca,Cr,Fe,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,False,,True,6,False,
R070253,RRUFF,Aegirine__R070253__Raman__532______Raman_Data_Processed__ef20fcecf52013adb0063596b6ae.txt,R070253,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Fe,Na,O,Si",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,False,,True,6,False,
