rruff_id,mineral_name,laser_nm,data_type,source_file,has_xrd,chemical_family,original_formula,display_formula_clean,normalized_formula,reduced_formula,has_vacancy_symbol,has_mixed_occupancy,has_variable_formula,has_html_tag,has_hydrate,formula_parse_success,eligible_for_matbench_matching,n_elements,avg_electronegativity,avg_atomic_mass,band_gap_eV,band_gap_min_eV,band_gap_max_eV,band_gap_match_count,is_metal,is_metal_match_count,formation_energy,formation_energy_min,formation_energy_match_count,band_gap_class
R060227,Abhurite,532,Processed,Abhurite__R060227__Raman__532______Raman_Data_Processed__0ffb340f1f86044a5495110ef799.txt,False,Halide,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn21O6(OH)14Cl16,Sn21H14(Cl4O5)4,False,False,False,False,False,True,True,4.0,2.6900000000000004,42.792584999999995,2.9751,2.9751,2.9751,1.0,False,1.0,-1.4863634520118307,-1.4863634520118307,1.0,semiconductor
R070578,Acanthite,532,Processed,Acanthite__R070578__Broad_Scan__532__0__unoriented__Raman_Data_Processed__ca36ad2b748b256f6902a7e8ee6d.txt,False,Sulfide,Ag_2_S,Ag_2_S,Ag2S,Ag2S,False,False,False,False,False,True,True,2.0,2.255,69.9666,0.9945,0.0,1.3608000000000002,13.0,False,13.0,-0.2372696430208337,-0.2782280530208337,13.0,narrow_gap
R080016,Acanthite,532,RAW,Acanthite__R080016__Broad_Scan__532__0__unoriented__Raman_Data_Raw__64a66e7b4897e5f2e95f8ea1f941.txt,True,Sulfide,Ag_2_S,Ag_2_S,Ag2S,Ag2S,False,False,False,False,False,True,True,2.0,2.255,69.9666,0.9945,0.0,1.3608000000000002,13.0,False,13.0,-0.2372696430208337,-0.2782280530208337,13.0,narrow_gap
R040130,Adamite,514,Processed,Adamite__R040130-3__Raman__514__0-000__depolarized__Raman_Data_Processed__db64e18da4d6c225c79e3b818e15.txt,True,Sulfate,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,False,False,False,False,False,True,True,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,1.0,-1.7352544360966666,-1.7352544360966666,1.0,semiconductor
R050020,Adamite,514,Processed,Adamite__R050020-3__Raman__514__0-000__depolarized__Raman_Data_Processed__7aeca6e07a3bcad0c72d9d3b6159.txt,True,Sulfate,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,False,False,False,False,False,True,True,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,1.0,-1.7352544360966666,-1.7352544360966666,1.0,semiconductor
R060593,Adamite,532,Processed,Adamite__R060593__Raman__532______Raman_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,True,Sulfate,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,False,False,False,False,False,True,True,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,1.0,-1.7352544360966666,-1.7352544360966666,1.0,semiconductor
R040054,Aegirine,514,Processed,Aegirine__R040054-3__Raman__514__0-000__depolarized__Raman_Data_Processed__763662312a7d089e52ac546c1325.txt,True,Silicate,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,False,False,False,False,False,True,True,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,1.0,-2.7952914512500007,-2.7952914512500007,1.0,semiconductor
R050074,Aegirine,514,Processed,Aegirine__R050074-3__Raman__514__0-000__depolarized__Raman_Data_Processed__e218395863e2ce3487e604f1e554.txt,True,Silicate,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,False,False,False,False,False,True,True,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,1.0,-2.7952914512500007,-2.7952914512500007,1.0,semiconductor
R061093,Aegirine,532,Processed,Aegirine__R061093__Raman__532______Raman_Data_Processed__eacc40c0a74ddabe6fa3613dfb89.txt,False,Silicate,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,False,False,False,False,False,True,True,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,1.0,-2.7952914512500007,-2.7952914512500007,1.0,semiconductor
R070125,Aegirine,532,Processed,Aegirine__R070125__Raman__532______Raman_Data_Processed__83b4a073f61dffad8f5d5ef8a58d.txt,False,Silicate,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,False,False,False,False,False,True,True,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,1.0,-2.7952914512500007,-2.7952914512500007,1.0,semiconductor
