rruff_id,mineral_name,laser_nm,data_type,source_file,has_xrd,chemical_family,original_formula,display_formula_clean,normalized_formula,reduced_formula,has_vacancy_symbol,has_mixed_occupancy,has_variable_formula,has_html_tag,has_hydrate,formula_parse_success,eligible_for_matbench_matching,n_elements,avg_electronegativity,avg_atomic_mass,band_gap_eV,band_gap_min_eV,band_gap_max_eV,band_gap_match_count,is_metal,is_metal_match_count,formation_energy,formation_energy_min,formation_energy_match_count,band_gap_class
R250095,Abellaite,532,Processed,Abellaite__R250095__Raman__532______Raman_Data_Processed__b342e40f190721ad0c8fed30ccc2.txt,True,Carbonate,NaPb_2_(CO_3_)_2_(OH),NaPb_2_(CO_3_)_2_(OH),NaPb2(CO3)2(OH),NaHPb2C2O7,False,False,False,False,False,True,True,5.0,2.29,51.841561856,,,,,,,,,,
R070007,Abelsonite,532,Processed,Abelsonite__R070007__Raman__532______Raman_Data_Processed__cd49494835f9f72e0d7c172ad2b4.txt,True,Halide,NiC_31_H_32_N_4_,NiC_31_H_32_N_4_,NiC31H32N4,NiH32C31N4,False,False,False,False,False,True,True,4.0,2.425,21.429685,,,,,,,,,,
R080016,Acanthite,532,RAW,Acanthite__R080016__Broad_Scan__532__0__unoriented__Raman_Data_Raw__64a66e7b4897e5f2e95f8ea1f941.txt,True,Sulfide,Ag_2_S,Ag_2_S,Ag2S,Ag2S,False,False,False,False,False,True,True,2.0,2.255,69.9666,0.9945,0.0,1.3608000000000002,13.0,False,13.0,-0.2372696430208337,-0.2782280530208337,13.0,narrow_gap
R040063,Actinolite,514,Processed,Actinolite__R040063-3__Raman__514__0-000__depolarized__Raman_Data_Processed__728b0e65ec1afdbd911057347955.txt,True,Silicate,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,True,False,True,False,True,False,False,6.0,,,,,,,,,,,,
R040064,Actinolite,514,Processed,Actinolite__R040064-3__Raman__514__0-000__depolarized__Raman_Data_Processed__64ff2ad221b200da7d239e174881.txt,True,Silicate,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,True,False,True,False,True,False,False,6.0,,,,,,,,,,,,
R050025,Actinolite,514,Processed,Actinolite__R050025-3__Raman__514__0-000__depolarized__Raman_Data_Processed__c18025fdeefb953394f7e20ebe33.txt,True,Silicate,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,True,False,True,False,True,False,False,6.0,,,,,,,,,,,,
R050336,Actinolite,514,Processed,Actinolite__R050336-3__Raman__514__0-000__depolarized__Raman_Data_Processed__f8a61f6bd709ee1925d24022cb80.txt,True,Silicate,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,True,False,True,False,True,False,False,6.0,,,,,,,,,,,,
R060041,Actinolite,514,Processed,Actinolite__R060041-3__Raman__514__0-000____Raman_Data_Processed__57e96c68dd658eda87a17afcf1f0.txt,True,Silicate,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,True,False,True,False,True,False,False,13.0,,,,,,,,,,,,
R060045,Actinolite,514,Processed,Actinolite__R060045-3__Raman__514__0-000__depolarized__Raman_Data_Processed__78b41c059af86af7fb41a83462f9.txt,True,Silicate,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,True,False,True,False,True,False,False,13.0,,,,,,,,,,,,
R040130,Adamite,514,Processed,Adamite__R040130-3__Raman__514__0-000__depolarized__Raman_Data_Processed__db64e18da4d6c225c79e3b818e15.txt,True,Sulfate,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,False,False,False,False,False,True,True,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,1.0,-1.7352544360966666,-1.7352544360966666,1.0,semiconductor
R050020,Adamite,514,Processed,Adamite__R050020-3__Raman__514__0-000__depolarized__Raman_Data_Processed__7aeca6e07a3bcad0c72d9d3b6159.txt,True,Sulfate,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,False,False,False,False,False,True,True,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,1.0,-1.7352544360966666,-1.7352544360966666,1.0,semiconductor
R060593,Adamite,532,Processed,Adamite__R060593__Raman__532______Raman_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,True,Sulfate,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,False,False,False,False,False,True,True,4.0,2.3674999999999997,39.334485,1.9575,1.9575,1.9575,1.0,False,1.0,-1.7352544360966666,-1.7352544360966666,1.0,semiconductor
R040054,Aegirine,514,Processed,Aegirine__R040054-3__Raman__514__0-000__depolarized__Raman_Data_Processed__763662312a7d089e52ac546c1325.txt,True,Silicate,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,False,False,False,False,False,True,True,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,1.0,-2.7952914512500007,-2.7952914512500007,1.0,semiconductor
R050074,Aegirine,514,Processed,Aegirine__R050074-3__Raman__514__0-000__depolarized__Raman_Data_Processed__e218395863e2ce3487e604f1e554.txt,True,Silicate,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,False,False,False,False,False,True,True,4.0,2.025,30.72991732,2.8631,2.8631,2.8631,1.0,False,1.0,-2.7952914512500007,-2.7952914512500007,1.0,semiconductor
R060312,Aeschynite-(Y),532,Processed,Aeschynite-(Y)__R060312__Raman__532______Raman_Data_Processed__c0ecd34947edbd1ebc82fd40db6d.txt,True,Oxide,Y(TiNb)O_6_,Y(TiNb)O_6_,Y(TiNb)O6,YTiNbO6,False,False,False,False,False,True,True,4.0,1.9499999999999997,61.41965750000001,3.166,3.166,3.166,1.0,False,1.0,-3.5288661929232807,-3.5288661929232807,1.0,wide_gap_insulator
R080045,Aeschynite-(Y),532,Processed,Aeschynite-(Y)__R080045__Broad_Scan__532__0__unoriented__Raman_Data_Processed__34def63603a6bb9b836125c30d7e.txt,True,Oxide,Y(TiNb)O_6_,Y(TiNb)O_6_,Y(TiNb)O6,YTiNbO6,False,False,False,False,False,True,True,4.0,1.9499999999999997,61.41965750000001,3.166,3.166,3.166,1.0,False,1.0,-3.5288661929232807,-3.5288661929232807,1.0,wide_gap_insulator
R060422,Afghanite,532,Processed,Afghanite__R060422__Raman__532______Raman_Data_Processed__dbf801bbeca7f15d3b75e745330a.txt,True,Silicate,"(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",False,True,False,False,False,False,False,8.0,,,,,,,,,,,,
R250018,Agaite,532,Processed,Agaite__R250018__Broad_Scan__532__0__unoriented__Raman_Data_Processed__a4d621c87e7272733ddfb67bc7dd.txt,True,Carbonate,Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_),Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_),Pb3CuTeO5(OH)2(CO3),CuTeH2Pb3CO10,False,False,False,False,False,True,True,6.0,2.42,71.22734,,,,,,,,,,
R060711,Agardite-(Y),532,Processed,Agardite-(Y)__R060711__Raman__532______Raman_Data_Processed__9604f59bf897b8e81394df85905f.txt,True,Sulfate,YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,False,False,False,False,True,True,True,5.0,2.188,48.876158,,,,,,,,,,
R060924,Agardite-(Y),532,Processed,Agardite-(Y)__R060924__Broad_Scan__532__0__unoriented__Raman_Data_Processed__9a3d76c2b76510638977099fefa7.txt,True,Sulfate,YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,False,False,False,False,True,True,True,5.0,2.188,48.876158,,,,,,,,,,
R070357,Agardite-(Y),532,Processed,Agardite-(Y)__R070357__Raman__532______Raman_Data_Processed__94fb38650b4c5d48634c3781ba53.txt,True,Sulfate,YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,False,False,False,False,True,True,True,5.0,2.188,48.876158,,,,,,,,,,
R060914,Agrellite,532,Processed,Agrellite__R060914__Raman__532______Raman_Data_Processed__ee1b2d09a768581d603c2c485ea2.txt,True,Silicate,NaCa_2_Si_4_O_10_F,NaCa_2_Si_4_O_10_F,NaCa2Si4O10F,NaCa2Si4O10F,False,False,False,False,False,True,True,5.0,2.25,25.230214496,4.959999999999999,4.959999999999999,4.959999999999999,1.0,False,1.0,-3.343222678955,-3.343222678955,1.0,wide_gap_insulator
R061085,Akermanite,514,Processed,Akermanite__R061085-3__Raman__514__0-000__depolarized__Raman_Data_Processed__527bfd408227683c8a2eeb3b5c36.txt,True,Silicate,Ca_2_MgSi_2_O_7_,Ca_2_MgSi_2_O_7_,Ca2MgSi2O7,Ca2MgSi2O7,False,False,False,False,False,True,True,4.0,1.9125,27.116975,4.535950000000001,4.467700000000001,4.6042000000000005,2.0,False,2.0,-3.3869175778125005,-3.389749083645834,3.0,wide_gap_insulator
R061100,Akermanite,514,Processed,Akermanite__R061100-3__Raman__514__0-000__depolarized__Raman_Data_Processed__6c80a922a62ac44b8643c6296a18.txt,True,Silicate,Ca_2_MgSi_2_O_7_,Ca_2_MgSi_2_O_7_,Ca2MgSi2O7,Ca2MgSi2O7,False,False,False,False,False,True,True,4.0,1.9125,27.116975,4.535950000000001,4.467700000000001,4.6042000000000005,2.0,False,2.0,-3.3869175778125005,-3.389749083645834,3.0,wide_gap_insulator
R070174,Alabandite,532,Processed,Alabandite__R070174__Broad_Scan__532__0__unoriented__Raman_Data_Processed__4995083de19b9cde89207d87d5ef.txt,True,Sulfide,MnS,MnS,MnS,MnS,False,False,False,False,False,True,True,2.0,2.065,43.5015225,0.0,0.0,0.0,3.0,True,3.0,-0.9096111482812499,-0.94875730953125,4.0,metal_like
R040068,Albite,514,Processed,Albite__R040068-3__Raman__514__0-000__depolarized__Raman_Data_Processed__b40f91d875d096aef4bd5cbeb2cf.txt,True,Silicate,Na(AlSi_3_O_8_),Na(AlSi_3_O_8_),Na(AlSi3O8),NaAlSi3O8,False,False,False,False,False,True,True,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,3.0,-3.226915543461539,-3.2302485469230766,3.0,wide_gap_insulator
R040129,Albite,514,Processed,Albite__R040129-3__Raman__514__0-000__depolarized__Raman_Data_Processed__0372f313bc8dc3ba8cbe0348dc49.txt,True,Silicate,Na(AlSi_3_O_8_),Na(AlSi_3_O_8_),Na(AlSi3O8),NaAlSi3O8,False,False,False,False,False,True,True,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,3.0,-3.226915543461539,-3.2302485469230766,3.0,wide_gap_insulator
R050253,Albite,514,Processed,Albite__R050253-3__Raman__514__0-000__depolarized__Raman_Data_Processed__08aec584c4a71d72542de0a54495.txt,True,Silicate,Na(AlSi_3_O_8_),Na(AlSi_3_O_8_),Na(AlSi3O8),NaAlSi3O8,False,False,False,False,False,True,True,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,3.0,-3.226915543461539,-3.2302485469230766,3.0,wide_gap_insulator
R050402,Albite,514,Processed,Albite__R050402-3__Raman__514__0-000__depolarized__Raman_Data_Processed__eb123b2915e05f23dc9cfdcd20a5.txt,True,Silicate,Na(AlSi_3_O_8_),Na(AlSi_3_O_8_),Na(AlSi3O8),NaAlSi3O8,False,False,False,False,False,True,True,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,3.0,-3.226915543461539,-3.2302485469230766,3.0,wide_gap_insulator
R060054,Albite,532,Processed,Albite__R060054__Raman__532______Raman_Data_Processed__2042d91ce3a2aa0b6a2ca165c1f6.txt,True,Silicate,Na(AlSi_3_O_8_),Na(AlSi_3_O_8_),Na(AlSi3O8),NaAlSi3O8,False,False,False,False,False,True,True,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,3.0,-3.226915543461539,-3.2302485469230766,3.0,wide_gap_insulator
R070268,Albite,532,Processed,Albite__R070268__Raman__532______Raman_Data_Processed__8bf1d3031e383c3d078490d5fbc7.txt,True,Silicate,Na(AlSi_3_O_8_),Na(AlSi_3_O_8_),Na(AlSi3O8),NaAlSi3O8,False,False,False,False,False,True,True,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,3.0,-3.226915543461539,-3.2302485469230766,3.0,wide_gap_insulator
R070175,Allactite,532,Processed,Allactite__R070175__Raman__532______Raman_Data_Processed__02fcabb45521656ae566b8dd035a.txt,True,Sulfate,Mn^2+^_7_(AsO_4_)_2_(OH)_8_,Mn^2+^_7_(AsO_4_)_2_(OH)_8_,Mn7(AsO4)2(OH)8,Mn7As2(HO2)8,False,False,False,False,False,True,True,4.0,2.3425000000000002,36.71674625,,,,,,,,,,
R050043,Allanite-(Ce),514,Processed,Allanite-(Ce)__R050043__Raman__514______Raman_Data_Processed__fc5445bdbcd525e600f1e3868a30.txt,True,Silicate,CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH),CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH),CaCe(Al2Fe)[Si2O7][SiO4]O(OH),CaCeAl2FeSi3HO13,False,False,False,False,False,True,True,7.0,1.8714285714285717,44.01619694285715,,,,,,,,,,
