mineral_name,rruff_id,laser_nm,data_type,source_file,has_xrd,elements_detected,chemical_family,n_elements,avg_electronegativity,avg_atomic_mass,reduced_formula,matbench_gap_pbe,matbench_is_metal,matbench_e_form
Barytocalcite,R050288,780.0,Processed,Barytocalcite__R050288__Raman__780______Raman_Data_Processed__1c9c8f08398477e09b922e4f14e9.txt,False,"Al,Ba,C,Ca,Cr,Cu,El,Fe,Ka,La,Ma,Mg,Mn,Ni,O,Ox,Pb,Pk,Si,Wt,Zn",Unknown,,,,,,,
Fornacite,R060986,785.0,Processed,Fornacite__R060986__Raman__785______Raman_Data_Processed__b9b2218e1ee92c3af490fbd07399.txt,False,"Al,As,Ca,Cl,Cr,Cu,El,F,Fe,H,K,Ka,La,Ma,Mg,Mn,Na,O,Ox,P,Pb,Pk,S,Ti,Wt,Zn",Unknown,,,,,,,
Diopside,R040097-3,514.0,Processed,Diopside__R040097-3__Raman__514__0-000__depolarized__Raman_Data_Processed__b1e7d8ccfc67b5a1f52c1ea75452.txt,False,"Al,Ca,Cr,El,Fe,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Pyrochlore,R080058,532.0,Processed,Pyrochlore__R080058__Broad_Scan__532__0__unoriented__Raman_Data_Processed__4eb8d1ff781e7d2a75a5fc5157d7.txt,False,"Al,B,Ca,Ce,El,F,Fe,Ka,La,Ma,Na,Nb,O,Ox,Pk,Ta,Th,Ti,U,Wt",Unknown,,,,,,,
Anorthoroselite,R150065,780.0,Processed,Anorthoroselite__R150065__Raman__780______Raman_Data_Processed__da01f6deb9f9bf65c20995a55aef.txt,False,,Unknown,1.0,0.0,,Anorthoroselite,,,
Diopside,R060085,780.0,Processed,Diopside__R060085__Broad_Scan__780__0__unoriented__Raman_Data_Processed__1731d05e64f180d0579a1af3cb21.txt,False,"Al,Ca,Cr,El,Fe,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Chenite,R130278,532.0,Processed,Chenite__R130278__Broad_Scan__532__0__unoriented__Raman_Data_Processed__028b53c9d77ba731e9b1bc9ccac4.txt,False,,Unknown,,,,,,,
Caryopilite,R070180,785.0,Processed,Caryopilite__R070180__Broad_Scan__785__0__unoriented__Raman_Data_Processed__9c61c10772084daaaf8f610fba67.txt,False,,Unknown,,,,,,,
Tyrolite,R060264,780.0,Processed,Tyrolite__R060264__Raman__780______Raman_Data_Processed__0c1eb43e64497d4529b9d769f1ee.txt,False,"Al,As,Ca,Cl,Cr,Cu,El,F,Fe,K,Ka,La,Ma,Mg,Mn,Na,O,Ox,P,Pb,Pk,S,Si,Wt,Zn",Unknown,,,,,,,
Belovite-(Ce),R070163,785.0,RAW,Belovite-(Ce)__R070163__Broad_Scan__785__0__unoriented__Raman_Data_Raw__31c5f39a0faf82def3ca3fddb175.txt,False,,Unknown,,,,,,,
Eriochalcite,R070026,532.0,Processed,Eriochalcite__R070026__Raman__532______Raman_Data_Processed__0eef6aa7d2e0185f34f7ac503b28.txt,False,,Unknown,,,,,,,
Cotunnite,R060655,785.0,Processed,Cotunnite__R060655__Broad_Scan__785__0__unoriented__Raman_Data_Processed__347874d2e98e78e4d53adda7ba4f.txt,False,"Cl,Cu,El,Fe,Ka,Ma,Ox,Pb,Pk,Wt,Zn",Unknown,,,,,,,
Actinolite,R060041,780.0,Processed,Actinolite__R060041__Broad_Scan__780__0__unoriented__Raman_Data_Processed__e7f4d9c92f95bf8974f65a183c8c.txt,False,"Al,Ca,Cr,El,F,Fe,K,Ka,Mg,Mn,Na,Pk,Si,Ti",Unknown,,,,,,,
Clinozoisite,R040085,780.0,Processed,Clinozoisite__R040085__Raman__780______Raman_Data_Processed__5c685bcd5599a74e1f52051d5507.txt,False,,Unknown,,,,,,,
Lianbinite,R220025,532.0,Processed,Lianbinite__R220025__Raman__532______Raman_Data_Processed__84fec082e030fe157f40ba40e955.txt,False,,Unknown,,,,,,,
Mansfieldite,R060951,532.0,Processed,Mansfieldite__R060951__Raman__532______Raman_Data_Processed__c19e24d82ca32b60271451266cc1.txt,False,"Al,As,Ca,Cr,El,F,Fe,H,K,Ka,Mg,Mn,Na,O,Ox,P,Pk,S",Unknown,1.0,0.0,,Mansfieldite,,,
Magnesio-fluoro-arfvedsonite,R050515,780.0,Processed,Magnesio-fluoro-arfvedsonite__R050515__Broad_Scan__780__0__unoriented__Raman_Data_Processed__0a290ef5b95d54e6fbab5b57d225.txt,False,,Unknown,,,,,,,
Fuchunite,R240007,532.0,RAW,Fuchunite__R240007__Broad_Scan__532__0__unoriented__Raman_Data_Raw__6cb45cb8e33c55fc41e83ff32c08.txt,False,,Unknown,,,,,,,
Aubertite,R060751,785.0,Processed,Aubertite__R060751__Raman__785______Raman_Data_Processed__c0846b2883788b98bf655c65e2b6.txt,False,,Unknown,,,,,,,
Polylithionite,R050132-4,514.0,Processed,Polylithionite__R050132-4__Raman__514__0-000__depolarized__Raman_Data_Processed__70ffc20539bca91a2c66402e2c16.txt,False,,Unknown,,,,,,,
Quartz,R040031,514.0,Processed,Quartz__R040031__Raman__514______Raman_Data_Processed__2fcb04da76407619cd43813ad4a4.txt,False,"Al,El,Fe,Ka,Mg,Mn,O,Ox,Pk,Si,Ti,Wt",Unknown,1.0,0.0,,Quartz,,,
Mendipite,R050669,780.0,Processed,Mendipite__R050669__Broad_Scan__780__0__unoriented__Raman_Data_Processed__8d18ab7299ac014f060ff72441b5.txt,False,"Cl,Cu,El,Fe,Ka,Ma,O,Ox,Pb,Pk,Wt,Zn",Unknown,1.0,0.0,,Mendipite,,,
Eitelite,R110214,532.0,Processed,Eitelite__R110214__Broad_Scan__532__0__unoriented__Raman_Data_Processed__cc4d2413b16f26a885da93994739.txt,False,"Ca,Cl,F,Fe,Mg,Na,Wt",Unknown,1.0,0.0,,Eitelite,,,
Diamond,R150088,532.0,Processed,Diamond__R150088__Raman__532______Raman_Data_Processed__1a1aa8a1c7c909f1435f85631bff.txt,False,,Unknown,,,,,,,
Thometzekite,R130618,532.0,Processed,Thometzekite__R130618__Broad_Scan__532__0__unoriented__Raman_Data_Processed__4b2a8e0f4be30317a11d80748556.txt,False,,Unknown,,,,,,,
Barrerite,R050135-4,514.0,Processed,Barrerite__R050135-4__Raman__514__0-000__depolarized__Raman_Data_Processed__7caf27a597659eba12d4caea8c58.txt,False,"Al,Ca,Cl,Cr,El,F,Fe,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Augelite,R050100,514.0,Processed,Augelite__R050100__Raman__514______Raman_Data_Processed__1c37a927599da37de83ae3efba01.txt,False,"Al,As,Ca,Cl,Cr,Cu,El,F,Fe,K,Ka,La,Mg,Mn,Na,O,Ox,P,Pk,S,Si,Wt",Unknown,,,,,,,
