sample_id,source_dataset,raw_file_path,rruff_id,mineral_name,compound_name,original_formula,display_formula_clean,normalized_formula,reduced_formula,chemical_family,sub_family,elements,contains_transition_metal,contains_3d_transition_metal,contains_4d_transition_metal,contains_5d_transition_metal,is_mixture,mixture_components,has_variable_formula,has_vacancy_symbol,has_mixed_occupancy,has_html_tag,has_hydrate,formula_parse_success,eligible_for_matbench_matching,matbench_match_success,band_gap_eV,band_gap_class,is_metal,formation_energy,formation_energy_class,has_xrd,xrd_file_path,duplicate_rruff_id,duplicate_group_size,exclude_from_inorganic_main,quality_flags
R250095,RRUFF,Abellaite__R250095__Raman__532______Raman_Data_Processed__b342e40f190721ad0c8fed30ccc2.txt,R250095,Abellaite,Abellaite,NaPb_2_(CO_3_)_2_(OH),NaPb_2_(CO_3_)_2_(OH),NaPb2(CO3)2(OH),NaHPb2C2O7,Carbonate,,"C,H,Na,O,Pb",False,False,False,False,False,,False,False,False,False,False,True,True,False,,,,,,True,Abellaite__R250095__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__b342e40f190721ad0c8fed30ccc2.txt,True,3,False,
R040064,RRUFF,Actinolite__R040064-3__Raman__514__0-000__depolarized__Raman_Data_Processed__64ff2ad221b200da7d239e174881.txt,R040064,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Ca,Fe,H,Mg,O,Si",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R040064-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__64ff2ad221b200da7d239e174881.txt,True,40,False,
R050025,RRUFF,Actinolite__R050025-3__Raman__514__0-000__depolarized__Raman_Data_Processed__c18025fdeefb953394f7e20ebe33.txt,R050025,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Ca,Fe,H,Mg,O,Si",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R050025-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__c18025fdeefb953394f7e20ebe33.txt,True,40,False,
R060041,RRUFF,Actinolite__R060041-3__Raman__514__0-000____Raman_Data_Processed__57e96c68dd658eda87a17afcf1f0.txt,R060041,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Al,Ca,Cr,F,Fe,H,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R060041-3__Xray_Data_XY__514__0-000____Xray_Data_XY_Data_Processed__57e96c68dd658eda87a17afcf1f0.txt,True,19,False,
R060045,RRUFF,Actinolite__R060045-3__Raman__514__0-000__depolarized__Raman_Data_Processed__78b41c059af86af7fb41a83462f9.txt,R060045,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Al,Ca,Cr,F,Fe,H,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,True,Actinolite__R060045-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__78b41c059af86af7fb41a83462f9.txt,True,38,False,
R060593,RRUFF,Adamite__R060593__Raman__532______Raman_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,R060593,Adamite,Adamite,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,Sulfate,,"As,Ca,Cl,Cu,F,Fe,H,La,Mg,Mn,O,P,Pb,S,Zn",True,True,False,True,False,,False,False,False,False,False,True,True,True,1.9575,semiconductor,False,-1.7352544360966666,stable,True,Adamite__R060593__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,True,6,False,
R050074,RRUFF,Aegirine__R050074-3__Raman__514__0-000__depolarized__Raman_Data_Processed__e218395863e2ce3487e604f1e554.txt,R050074,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Al,Ca,Cr,F,Fe,La,Mg,Mn,Mt,Na,O,Si,Ti,Zn,Zr",True,True,True,True,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,True,Aegirine__R050074-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__e218395863e2ce3487e604f1e554.txt,True,40,False,
R060312,RRUFF,Aeschynite-(Y)__R060312__Raman__532______Raman_Data_Processed__c0ecd34947edbd1ebc82fd40db6d.txt,R060312,Aeschynite-(Y),Aeschynite-(Y),Y(TiNb)O_6_,Y(TiNb)O_6_,Y(TiNb)O6,YTiNbO6,Oxide,,"Ca,Ce,Dy,Fe,H,La,Nb,Nd,O,Th,Ti,U,Y",True,True,True,True,False,,False,False,False,False,False,True,True,True,3.166,wide_gap_insulator,False,-3.5288661929232807,highly_stable,True,Aeschynite-(Y)__R060312__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__c0ecd34947edbd1ebc82fd40db6d.txt,True,6,False,
R080045,RRUFF,Aeschynite-(Y)__R080045__Broad_Scan__532__0__unoriented__Raman_Data_Processed__34def63603a6bb9b836125c30d7e.txt,R080045,Aeschynite-(Y),Aeschynite-(Y),Y(TiNb)O_6_,Y(TiNb)O_6_,Y(TiNb)O6,YTiNbO6,Oxide,,"Nb,O,Ti,Y",True,True,True,False,False,,False,False,False,False,False,True,True,True,3.166,wide_gap_insulator,False,-3.5288661929232807,highly_stable,True,Aeschynite-(Y)__R080045__Broad_Scan__532__0__unoriented__Xray_Data_XY_Data_Processed__34def63603a6bb9b836125c30d7e.txt,True,8,False,
R060422,RRUFF,Afghanite__R060422__Raman__532______Raman_Data_Processed__dbf801bbeca7f15d3b75e745330a.txt,R060422,Afghanite,Afghanite,"(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Silicate,,"Al,Ca,Cl,K,Na,O,S,Si",False,False,False,False,False,,False,False,True,False,False,False,False,False,,,,,,True,Afghanite__R060422__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__dbf801bbeca7f15d3b75e745330a.txt,True,6,False,
