CSD_code,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability,CSD_years,SMILES
WELROW,-17117.605212,-0.252202,2.5306,0.43487,0.12468,-0.17887,-0.05419,726.67002,2020-2024,
QIWWAY,-2323.071875,-0.207525,2.7207,1.99328,0.12834,-0.1811,-0.05276,536.050427,2020-2024,
WABKER,-3038.331523,-0.248478,1.7308,1.78788,0.10541,-0.19228,-0.08687,625.018247,2020-2024,
JECQOB,-2040.290536,-0.087508,7.6291,2.20832,0.12195,-0.29716,-0.17521,305.314196,2020-2024,
ZOMDIS,-2388.27586,-0.183347,3.6401,1.19519,0.10407,-0.19093,-0.08686,443.29246,2020-2024,
YIYGUM,-2416.212129,-0.277099,8.5169,2.01502,0.08432,-0.13776,-0.05344,659.802634,2020-2024,
XEDDEQ,-4249.945255,-0.220733,10.7022,1.45271,0.17177,-0.23725,-0.06548,538.176137,2020-2024,
VUJWIJ,-1926.049366,-0.120046,3.8822,1.16492,0.155,-0.19257,-0.03757,380.179874,2020-2024,
SEGSOO,-8559.384444,-0.17855,4.7567,1.60316,0.11743,-0.20777,-0.09034,596.477171,2020-2024,
SUXLIG,-3630.354929,-0.238959,9.8883,1.52952,0.16941,-0.229,-0.05959,633.56554,2020-2024,
LUHQAJ,-3302.598651,-0.202156,5.2349,1.81739,0.1184,-0.21534,-0.09694,588.461194,2020-2024,
RUDLEK,-2589.347421,-0.212091,9.2254,1.89081,0.01715,-0.1853,-0.16815,587.191318,2020-2024,
VUDZEC,-2351.800225,-0.109864,7.6675,1.27893,0.12289,-0.22205,-0.09916,391.152051,2020-2024,
BALSAL,-1887.070016,-0.177565,7.5037,1.90155,0.1105,-0.16652,-0.05602,471.606572,2020-2024,
KUXQUS,-4839.985459,-0.289104,17.1276,1.64109,0.09957,-0.31501,-0.21544,683.838931,2020-2024,
GOZBEF,-2466.695556,-0.214944,11.2348,1.85275,0.06268,-0.16746,-0.10478,535.637936,2020-2024,
DASFIQ,-3075.191193,-0.073378,1.6948,1.11963,0.07049,-0.0939,-0.02341,276.23762,2020-2024,
