id,metal_center,charge,molecular_mass,n_atoms,n_electrons,tzvp_lumo_energy,tzvp_homo_energy,tzvp_homo_lumo_gap,homo_lumo_gap_delta,tzvp_electronic_energy,electronic_energy_delta,tzvp_dispersion_energy,dispersion_energy_delta,enthalpy_energy,enthalpy_energy_correction,gibbs_energy,gibbs_energy_correction,zpe_correction,heat_capacity,entropy,tzvp_dipole_moment,dipole_moment_delta,polarisability,lowest_vibrational_frequency,highest_vibrational_frequency,smiles
ABARAX,Y,0,704.12802,82,366,-0.04429,-0.26647,0.22218,0.0919099999999999,-2892.36600692,-2.6550685799998064,-0.1392681523,0.0108770616999999,-2889.012001,0.6989373400001568,-2889.135269,0.5756693400003314,0.652102,172.185,259.439,9.2114,0.2927999999999997,386.28,34.4781,3100.7198,
ADOCUR,Ir,0,576.22742,57,278,-0.06204,-0.22945,0.16741,0.0710499999999999,-1737.63831806,-1.2987380600000051,-0.1041090673,0.0077264355,-1735.88029,0.4592900000000099,-1735.963202,0.3763780000001588,0.429695,122.261,174.503,10.2287,0.2194000000000002,339.74,35.4582,3143.5483,
ADODAY,Os,0,532.1836,49,254,-0.08919,-0.22502,0.13583,0.06305,-1606.75529119,-1.1630053100000168,-0.0802387384,0.006530707,-1605.205979,0.3863068799998927,-1605.282161,0.3101248799998757,0.361711,103.116,160.339,11.5679,0.8384999999999998,321.44,24.7789,3148.069,
AFELIJ,Co,0,608.19456,72,312,-0.07867,-0.21772,0.13905,0.08426,-3777.70718028,-2.0871419400000377,-0.1396361516,0.0104782058999999,-3775.05054,0.5694983399998819,-3775.150426,0.4696123399999123,0.533237,152.085,210.227,12.6988,0.2402999999999995,481.93,24.4646,3202.0642,
AFOGEK,Pd,-1,375.12674,38,184,0.06222,-0.12226,0.1844799999999999,0.0781699999999999,-899.231573277,-0.8974194730000136,-0.058880621,0.00515821,-898.058343,0.2758108040000024,-898.133433,0.2007208040000705,0.252746,88.853,158.039,12.4951,0.609,249.25,23.4406,3088.3408,
AGEVAJ,Pd,0,661.01537,65,336,-0.05018,-0.23276,0.18258,0.07208,-2929.30460383,-2.1238992799999323,-0.115521884,0.0086674058,-2926.657387,0.5233175499997742,-2926.768232,0.412472550000075,0.485452,141.289,233.293,2.9897,0.0874000000000001,468.02,11.8753,3166.7324,
AGIVOC,Zr,0,623.31807,85,324,-0.06049,-0.22422,0.16373,0.0710899999999999,-1830.40689566,-1.850309359999983,-0.1463188075,0.0114776567999999,-1827.837755,0.7188312999999198,-1827.949864,0.6067223000000013,0.676408,170.719,235.955,10.6478,0.0987000000000009,477.41,28.8197,3150.9209,
AHIKAD,Hg,0,492.32886,47,226,-0.06653,-0.3146,0.2480699999999999,0.0683,-815.914678036,-0.8057296560000395,-0.0758655179,0.0072259229999999,-814.765909,0.3430393800000502,-814.833302,0.2756463800000119,0.322797,96.37,141.84,1.0354,0.0242,298.64,18.4581,3154.1666,
AHIVET,Zr,0,546.18571,65,278,-0.08561,-0.23868,0.1530699999999999,0.0579799999999999,-1863.44345422,-1.579738529999986,-0.1190335534,0.0084108083999999,-1861.344212,0.519503689999965,-1861.432044,0.4316716900000301,0.487622,136.23,184.859,8.8083,0.0978999999999992,395.18,32.3333,3200.8141,
AHIVIX,Rh,0,526.27025,70,270,-0.09053,-0.24899,0.15846,0.0641599999999999,-1269.6687847,-1.3415116999999557,-0.1108701639,0.0103709438999999,-1267.738256,0.5890170000000126,-1267.832022,0.4952510000000529,0.557486,132.485,197.346,7.8085,-0.0737999999999994,409.96,9.6462,3136.6923,
